mu,q_mu,nll_mu,converged,n_iter
0.0,0.0,12.54168739421862,True,4
0.125,0.0,12.46465640531784,True,4
0.25,0.0,12.40872369048138,True,4
0.375,0.0,12.373700544848653,True,3
0.5,0.0,12.35939103392159,True,3
0.625,0.013191237190326888,12.365592515735884,True,3
0.75,0.0661985415253099,12.392096167903375,True,3
0.875,0.15938123774752455,12.438687516014483,True,3
1.0,0.2923001255057329,12.505146959893587,True,3
1.125,0.4645067956928557,12.591250294987148,True,4
1.25,0.6755446565422147,12.696769225411828,True,4
1.375,0.924949938967373,12.821471866624407,True,3
1.5,1.2122526759744403,12.96512323512794,True,4
1.625,1.5369776527052466,13.127485723493344,True,4
1.75,1.8986453224134863,13.308319558347463,True,4
1.875,2.296772687138059,13.50738324070975,True,4
2.0,2.7308741396172422,13.724433966949341,True,4
2.125,3.200462265059784,13.959228029670612,True,4
2.25,3.7050486014068724,14.211521197844156,True,4
2.375,4.244144357237261,14.48106907575935,True,4
2.5,4.8172610868762575,14.767627440578849,True,4
2.625,5.4239113226512785,15.07095255846636,True,4
2.75,6.063609164576405,15.390801479428923,True,4
2.875,6.735870828012452,15.726932311146946,True,4
3.0,7.440215150196025,16.079104472238733,True,4
3.125,8.176164056605813,16.447078925443627,True,4
3.25,8.943242988247064,16.830618391264252,True,5
3.375,9.740981291915801,17.22948754309862,True,5
3.5,10.568912573691804,17.643453183986622,True,5
3.625,11.426575018491732,18.072284406386586,True,5
3.75,12.313511676561362,18.5157527354214,True,5
3.875,13.22927071883744,18.97363225655944,True,5
4.0,14.173405662835009,19.445699728558225,True,5
4.125,15.145475570499158,19.9317346823903,True,6
4.25,16.145045221116916,20.43151950769918,True,5
4.375,17.171685257771102,20.94483952602627,True,4
4.5,18.224972312764507,21.471483053522974,True,4
4.625,19.304489111090888,22.011241452686164,True,4
4.75,20.409824554217366,22.563909174249403,True,4
4.875,21.54057378572638,23.12928379000391,True,4
5.0,22.696338240087343,23.70716601718439,True,4
