mu,q_mu,nll_mu,converged,n_iter
0.0,0.0,3.403942258523559,True,4
0.125,0.0,3.3071227365928255,True,3
0.25,0.0,3.233536708479691,True,3
0.375,0.0,3.1819742146334917,True,3
0.5,0.0,3.1512953931083922,True,3
0.625,0.0,3.140425363651972,True,3
0.75,0.015939678610262575,3.1483495768467202,True,3
0.875,0.06745968071474451,3.174109577898961,True,3
1.0,0.15283880684662954,3.2167991409649037,True,3
1.125,0.27036199554080476,3.2755607353119913,True,3
1.25,0.4184051034682934,3.3495822892757356,True,3
1.375,0.5954289689214001,3.438094222002289,True,3
1.5,0.7999739578280955,3.5403667164556367,True,3
1.625,1.0306549453230502,3.655707210203114,True,3
1.75,1.2861566911853899,3.783458083134284,True,3
1.875,1.565229572060563,3.9229945235718704,True,3
2.0,1.866685637427711,4.073722556255444,True,3
2.125,2.1893949598063145,4.235077217444746,True,3
2.25,2.5322822528120827,4.40652086394763,True,3
2.375,2.894323733410923,4.5875416042470505,True,3
2.5,3.274544207138767,4.7776518411109725,True,3
2.625,3.672014357195321,4.9763869161392495,True,3
2.75,4.0858482202160715,5.183303847649625,True,3
2.875,4.515200833204954,5.397980154144066,True,3
3.0,4.959266037616384,5.620012756349781,True,3
3.125,5.41727442789653,5.849016951489854,True,3
3.25,5.88849143299425,6.084625454038714,True,3
3.375,6.372215520410013,6.326487497746595,True,3
3.5,6.867776513303841,6.57426799419351,True,3
3.625,7.374534012039362,6.82764674356127,True,3
3.75,7.891875912305341,7.08631769369426,True,3
3.875,8.419217012648442,7.34998824386581,True,3
4.0,8.955997704869866,7.618378589976522,True,3
4.125,9.501682741298197,7.891221108190687,True,3
4.25,10.055760073461913,8.168259774272546,True,3
4.375,10.617739757134311,8.449249616108744,True,3
4.5,11.187152919144468,8.733956197113823,True,3
4.625,11.763550781722076,9.022155128402627,True,3
4.75,12.346503740481603,9.31363160778239,True,3
4.875,12.93560049246564,9.60817998377441,True,3
5.0,13.530447210946138,9.905603343014658,True,3
